000004,0.779,Susah,Tunisia,36.17N,9.94E
1948-09-01,23.974,0.368,Susah,Tunisia,36.17N,9.94E
1948-10-01,21.559,0.389,Susah,Tunisia,36.17N,9.94E
1948-11-01,15.049,0.5589999999999999,Susah,Tunisia,36.17N,9.94E
1948-12-01,11.665999999999999,0.45299999999999996,Susah,Tunisia,36.17N,9.94E
1949-01-01,10.422,0.26899999999999996,Susah,Tunisia,36.17N,9.94E
1949-02-01,10.791,0.28,Susah,Tunisia,36.17N,9.94E
1949-03-01,11.745,0.16699999999999998,Susah,Tunisia,36.17N,9.94E
1949-04-01,17.082,0.395,Susah,Tunisia,36.17N,9.94E
1949-05-01,19.796,0.564,Susah,Tunisia,36.17N,9.94E
1949-06-01,25.669,0.261,Susah,Tunisia,36.17N,9.94E
1949-07-01,27.868000000000002,0.58,Susah,Tunisia,36.17N,9.94E
1949-08-01,27.218000000000004,0.504,Susah,Tunisia,36.17N,9.94E
1949-09-01,26.674,0.32,Susah,Tunisia,36.17N,9.94E
1949-10-01,20.47,0.455,Susah,Tunisia,36.17N,9.94E
1949-11-01,15.597999999999999,0.336,Susah,Tunisia,36.17N,9.94E
1949-12-01,12.870999999999999,0.276,Susah,Tunisia,36.17N,9.94E
1950-01-01,10.229,0.335,Susah,Tunisia,36.17N,9.94E
1950-02-01,11.834000000000001,0.262,Susah,Tunisia,36.17N,9.94E
1950-03-01,12.915999999999999,0.375,Susah,Tunisia,36.17N,9.94E
1950-04-01,15.079,0.465,Susah,Tunisia,36.17N,9.94E
1950-05-01,20.931,0.354,Susah,Tunisia,36.17N,9.94E
1950-06-01,26.325,0.278,Susah,Tunisia,36.17N,9.94E
1950-07-01,28.963,0.426,Susah,Tunisia,36.17N,9.94E
1950-08-01,28.818,0.324,Susah,Tunisia,36.17N,9.94E
