03,0.321,Brunswick,Germany,52.24N,10.51E
1957-09-01,12.125,0.46799999999999997,Brunswick,Germany,52.24N,10.51E
1957-10-01,9.936,0.382,Brunswick,Germany,52.24N,10.51E
1957-11-01,5.316000000000002,0.26,Brunswick,Germany,52.24N,10.51E
1957-12-01,0.9439999999999998,0.214,Brunswick,Germany,52.24N,10.51E
1958-01-01,0.349,0.309,Brunswick,Germany,52.24N,10.51E
1958-02-01,2.2960000000000003,0.32299999999999995,Brunswick,Germany,52.24N,10.51E
1958-03-01,-0.07799999999999985,0.22399999999999998,Brunswick,Germany,52.24N,10.51E
1958-04-01,5.164,0.218,Brunswick,Germany,52.24N,10.51E
1958-05-01,13.305,0.392,Brunswick,Germany,52.24N,10.51E
1958-06-01,14.669,0.294,Brunswick,Germany,52.24N,10.51E
1958-07-01,17.25,0.38299999999999995,Brunswick,Germany,52.24N,10.51E
1958-08-01,17.383,0.23199999999999998,Brunswick,Germany,52.24N,10.51E
1958-09-01,15.091,0.17800000000000002,Brunswick,Germany,52.24N,10.51E
1958-10-01,10.292000000000002,0.287,Brunswick,Germany,52.24N,10.51E
1958-11-01,4.673,0.22,Brunswick,Germany,52.24N,10.51E
1958-12-01,3.168,0.215,Brunswick,Germany,52.24N,10.51E
1959-01-01,0.5930000000000001,0.24100000000000002,Brunswick,Germany,52.24N,10.51E
1959-02-01,0.4910000000000001,0.21100000000000002,Brunswick,Germany,52.24N,10.51E
1959-03-01,6.662999999999999,0.385,Brunswick,Germany,52.24N,10.51E
1959-04-01,9.75,0.37200000000000005,Brunswick,Germany,52.24N,10.51E
1959-05-01,12.805,0.166,Brunswick,Germany,52.24N,10.51E
1959-06-01,16.395,0.32899999999999996,Brunswick,Germany,52.24N,10.51E
1959-07-01,19.77,0.294,Brunswick,Germany,52.24N,10.51E
1959-08-01,18.23,0.129,Brunswick,Germany,52.24N,10.51E
1959-09-01,13.984000000000002,0.317,Brunswick,Germany,52.24N,10.51E
1959-10-01,9.222999999999999,0.40399999999999997,Brunswick,Germany,52.24N,10.51E
1959-11-01,4.1400000000000015,0.247,Brunswick,Germany,52.24N,10.51E
1959-12-01,2.286,0.233,Brunswick,Germany,52.24N,10.51E
1960-01-01,0.7190000000000001,0.187,Brunswick,Germany,52.24N,10.51E
1960-02-01,0.4900000000000001,0.23800000000000002,Brunswick,Germany,52.24N,10.51E
1960-03-01,4.202,0.221,Brunswick,Germany,52.24N,10.51E
1960-04-01,7.3,0.212,Brunswick,Germany,52.24N,10.51E
