.9830000000000005,0.507,Puerto Montt,Chile,40.99S,72.43W
1977-07-01,4.3969999999999985,0.654,Puerto Montt,Chile,40.99S,72.43W
1977-08-01,5.131,0.386,Puerto Montt,Chile,40.99S,72.43W
1977-09-01,6.907,0.26899999999999996,Puerto Montt,Chile,40.99S,72.43W
1977-10-01,8.763,0.207,Puerto Montt,Chile,40.99S,72.43W
1977-11-01,9.942,0.16,Puerto Montt,Chile,40.99S,72.43W
1977-12-01,13.554,0.165,Puerto Montt,Chile,40.99S,72.43W
1978-01-01,13.456,0.373,Puerto Montt,Chile,40.99S,72.43W
1978-02-01,14.755999999999998,0.45399999999999996,Puerto Montt,Chile,40.99S,72.43W
1978-03-01,11.731,0.287,Puerto Montt,Chile,40.99S,72.43W
1978-04-01,9.058000000000002,0.39899999999999997,Puerto Montt,Chile,40.99S,72.43W
1978-05-01,7.789,0.266,Puerto Montt,Chile,40.99S,72.43W
1978-06-01,3.759,0.462,Puerto Montt,Chile,40.99S,72.43W
1978-07-01,6.393,0.589,Puerto Montt,Chile,40.99S,72.43W
1978-08-01,3.733000000000001,0.39899999999999997,Puerto Montt,Chile,40.99S,72.43W
1978-09-01,7.013,0.096,Puerto Montt,Chile,40.99S,72.43W
1978-10-01,7.449000000000002,0.284,Puerto Montt,Chile,40.99S,72.43W
1978-11-01,10.792,0.299,Puerto Montt,Chile,40.99S,72.43W
1978-12-01,13.154000000000002,0.382,Puerto Montt,Chile,40.99S,72.43W
1979-01-01,14.958,0.5,Puerto Montt,Chile,40.99S,72.43W
1979-02-01,13.88,0.27699999999999997,Puerto Montt,Chile,40.99S,72.43W
1979-03-01,11.935,0.358,Puerto Montt,Chile,40.99S,72.43W
1979-04-01,9.298,0.287,Puerto Montt,Chile,40.99S,72.43W
