942999999999998,1.422,Tilburg,Netherlands,52.24N,5.26E
1882-08-01,15.267,0.509,Tilburg,Netherlands,52.24N,5.26E
1882-09-01,13.550999999999998,0.457,Tilburg,Netherlands,52.24N,5.26E
1882-10-01,9.895,0.565,Tilburg,Netherlands,52.24N,5.26E
1882-11-01,5.089,0.706,Tilburg,Netherlands,52.24N,5.26E
1882-12-01,2.218,0.376,Tilburg,Netherlands,52.24N,5.26E
1883-01-01,1.9869999999999999,0.631,Tilburg,Netherlands,52.24N,5.26E
1883-02-01,4.614,0.97,Tilburg,Netherlands,52.24N,5.26E
1883-03-01,0.7380000000000004,0.68,Tilburg,Netherlands,52.24N,5.26E
1883-04-01,7.8980000000000015,0.445,Tilburg,Netherlands,52.24N,5.26E
1883-05-01,12.475,0.5710000000000001,Tilburg,Netherlands,52.24N,5.26E
1883-06-01,15.776,0.48200000000000004,Tilburg,Netherlands,52.24N,5.26E
1883-07-01,16.11,0.45799999999999996,Tilburg,Netherlands,52.24N,5.26E
1883-08-01,16.320999999999998,0.479,Tilburg,Netherlands,52.24N,5.26E
1883-09-01,13.827,0.444,Tilburg,Netherlands,52.24N,5.26E
1883-10-01,9.732000000000001,0.319,Tilburg,Netherlands,52.24N,5.26E
1883-11-01,5.789,0.47700000000000004,Tilburg,Netherlands,52.24N,5.26E
1883-12-01,2.7569999999999997,0.722,Tilburg,Netherlands,52.24N,5.26E
1884-01-01,4.7040000000000015,0.442,Tilburg,Netherlands,52.24N,5.26E
1884-02-01,4.508,0.499,Tilburg,Netherlands,52.24N,5.26E
1884-03-01,6.215,0.653,Tilburg,Netherlands,52.24N,5.26E
1884-04-01,7.03,0.56,Tilburg,Netherlands,52.24N,5.26E
1884-05-01,12.644,0.446,Tilburg,Netherlands,52.24N,5.26E
1884-06-01,13.565,0.616,Tilburg,Netherlands,52.24N,5.26E
1884-07-01,18.199,0.39,Tilburg,Netherlands,52.24N,5.26E
1884-08-01,18.18,0.76,Tilburg,Netherlands,52.24N,5.26E
1884-09-01,15.384,0.28300000000000003,Tilburg,Netherlands,52.24N,5.26E
1884-10-01,9.382,0.688,Tilburg,Netherlands,52.24N,5.26E
1884-11-01,4.069,0.525,Tilburg,Netherlands,52.24N,5.26E
1884-12-01,3.003,0.8909999999999999,Tilburg,Netherlands,52.24N,5.26E
1885-01-01,-0.3810000000000002,0.871,Tilburg,Netherlands,52.24N,5.26E
1885-02-01,5.414,0.623,Tilburg,Netherlands,52.24N,5.26E
1885-03-01,3.963,0.23199999999999998,Tilburg,Netherlands,52.24N,5.26E
1885-04-01,9.265,0.69,Tilburg,Netherlands,52.24N,5.26E
1885-05-01,9.865,0.583,Tilburg,Netherlands,52.24N,5.26E
1885-06-01,15.79,0.40299999999999997,Tilburg,Netherlands,52.24N,5.26E
1885-07-01,17.093,0.528,Tilburg,Netherlands,52.24N,5.26E
1885-08-01,14.624000000000002,0.787,Tilburg,Netherlands,52.24N,5.26E
1885-09-01,12.955,0.326,Tilburg,Netherlands,52.24N,5.26E
1885-10-01,7.981999999999998,0.426,Tilburg,Netherlands,52.24N,5.26E
1885-11-01,4.199,0.747,Tilburg,Netherlands,52.24N,5.26E
1885-12-01,1.844,0.866,Tilburg,Netherlands,52.24N,5.26E
1886-01-01,0.4690000000000001,0.649,Tilburg,Netherlands,52.24N,5.26E
1886-02-01,-0.9440000000000004,0.937,Tilburg,Netherlands,52.24N,5.26E
1886-03-01,2.9360000000000004,0.499,Tilburg,Netherlands,52.24N,5.26E
1886-04-01,8.26,0.28300000000000003,Tilburg,Netherlands,52.24N,5.26E
1886-05-01,12.525,0.505,Tilburg,Netherlands,52.24N,5.26E
1886-06-01,13.999,0.376,Tilburg,Netherlands,52.24N,5.26E
1886-07-01,16.766,0.457,Tilburg,Netherlands,52.24N,5.26E
1886-08-01,16.986,0.35200000000000004,Tilburg,Netherlands,52.24N,5.26E
1886-09-01,15.43,0.545,Tilburg,Netherlands,52.24N,5.26E
1886-10-01,10.997,0.7829999999999999,Tilburg,Netherlands,52.24N,5.26E
1886-11-01,6.691,0.6809999999999999,Tilburg,Netherlands,52.24N,5.26E
1886-12-01,1.521,0.879,Tilburg,Netherlands,52.24N,5.26E
1887-01-01,-0.5979999999999999,1.006,Tilburg,Netherlands,52.24N,5.26E
1887-02-01,1.863,0.982,Tilburg,Netherlands,52.24N,5.26E
1887-03-01,2.6289999999999996,0.691,Tilburg,Netherlands,52.24N,5.26E
1887-04-01,6.894,0.375,Tilburg,Netherlands,52.24N,5.26E
1887-05-01,10.047,0.32,Tilburg,Netherlands,52.24N,5.26E
1887-06-01,15.528,0.445,Tilburg,Netherlands,52.24N,5.26E
1887-07-01,18.218,0.6,Tilburg,Netherlands,52.24N,5.26E
1887-08-01,16.057000000000002,0.41700000000000004,Tilburg,Netherlands,52.24N,5.26E
1887-09-01,12.493,0.522,Tilburg,Netherlands,52.24N,5.26E
1887-10-01,7.065,0.46799999999999997,Tilburg,Netherlands,52.24N,5.26E
1887-11-01,4.533,0.8540000000000001,Tilburg,Netherlands,52.24N,5.26E
1887-12-01,1.182,0.738,Tilburg,Netherlands,52.24N,5.26E
1888-01-01,0.377,1.3519999999999999,Tilburg,Netherlands,52.24N,5.26E
1888-02-01,-1.003,1.2690000000000001,Tilburg,Netherlands,52.24N,5.26E
1888-03-01,2.031,0.895,Tilburg,Netherlands,52.24N,5.26E
1888-04-01,5.979,0.7979999999999999,Tilburg,Netherlands,52.24N,5.26E
